epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,5422.92,1.552,1.45029,1.35075,0.65712,0.59703,0.64278,0.33468,1.61296,1.3909,1.41021,0.003664,0.003664,0.003664
98,5474.47,1.53935,1.43713,1.34464,0.64785,0.60303,0.64026,0.33496,1.61283,1.39471,1.40945,0.003598,0.003598,0.003598
99,5524.63,1.54268,1.43396,1.34329,0.67517,0.59513,0.65017,0.33935,1.61013,1.38154,1.40651,0.003532,0.003532,0.003532
100,5575.09,1.52854,1.41944,1.33767,0.6672,0.60408,0.64861,0.33883,1.61092,1.38463,1.40598,0.003466,0.003466,0.003466
101,5624.99,1.53917,1.41218,1.33754,0.67384,0.59913,0.65261,0.34102,1.61458,1.37685,1.4109,0.0034,0.0034,0.0034
102,5676.02,1.53267,1.406,1.33411,0.67484,0.60424,0.65389,0.34018,1.61347,1.3806,1.40999,0.003334,0.003334,0.003334
103,5727.66,1.52706,1.40206,1.33325,0.68234,0.59839,0.65336,0.34172,1.61131,1.3779,1.4079,0.003268,0.003268,0.003268
104,5780.54,1.51983,1.40114,1.33094,0.69052,0.59307,0.65141,0.33983,1.61642,1.3817,1.41046,0.003202,0.003202,0.003202
105,5831.67,1.52201,1.40236,1.33015,0.69419,0.58881,0.64863,0.34009,1.61355,1.3788,1.40817,0.003136,0.003136,0.003136
106,5882.16,1.52148,1.39394,1.32626,0.68142,0.59368,0.65054,0.34033,1.61062,1.38062,1.40403,0.00307,0.00307,0.00307
107,5933.85,1.52197,1.38957,1.32488,0.67028,0.60757,0.65183,0.34143,1.61046,1.37358,1.40403,0.003004,0.003004,0.003004
108,5982.41,1.52259,1.37807,1.32416,0.66714,0.61267,0.65667,0.34417,1.61041,1.36705,1.40119,0.002938,0.002938,0.002938
109,6032.46,1.50137,1.37546,1.32107,0.67173,0.61023,0.65795,0.34717,1.60665,1.36348,1.39916,0.002872,0.002872,0.002872
110,6082.89,1.50947,1.37621,1.31942,0.68756,0.60065,0.65793,0.34642,1.60741,1.36623,1.39966,0.002806,0.002806,0.002806
111,6133.73,1.50022,1.37028,1.31948,0.68645,0.59622,0.65328,0.34523,1.61102,1.36752,1.40139,0.00274,0.00274,0.00274
112,6184.69,1.50162,1.37205,1.31695,0.68484,0.60468,0.65648,0.3466,1.61013,1.36595,1.4009,0.002674,0.002674,0.002674
113,6234.12,1.49899,1.36595,1.3113,0.6734,0.612,0.65859,0.34636,1.6118,1.3645,1.40043,0.002608,0.002608,0.002608
114,6284.58,1.50196,1.36336,1.31786,0.68405,0.60475,0.65894,0.34648,1.61319,1.36456,1.40113,0.002542,0.002542,0.002542
115,6334.84,1.48617,1.34045,1.30602,0.67452,0.61576,0.65691,0.34699,1.61347,1.36507,1.40086,0.002476,0.002476,0.002476
116,6385.1,1.48737,1.34622,1.30467,0.67869,0.61188,0.65783,0.34784,1.61379,1.36217,1.40294,0.00241,0.00241,0.00241
117,6434.8,1.47962,1.33815,1.30108,0.67009,0.61538,0.65888,0.34934,1.61388,1.35806,1.40204,0.002344,0.002344,0.002344
118,6488.11,1.482,1.34277,1.30806,0.66055,0.61641,0.65714,0.35005,1.61345,1.35658,1.40337,0.002278,0.002278,0.002278
119,6540.71,1.48643,1.33259,1.30218,0.6594,0.61752,0.6574,0.34966,1.61581,1.35871,1.40411,0.002212,0.002212,0.002212
120,6591.63,1.48214,1.32861,1.29921,0.65815,0.61957,0.65792,0.35017,1.6151,1.35656,1.40421,0.002146,0.002146,0.002146
121,6642.93,1.47544,1.32308,1.29311,0.66629,0.61375,0.65576,0.34851,1.618,1.35918,1.4059,0.00208,0.00208,0.00208
122,6693.44,1.47157,1.31343,1.29986,0.66261,0.61843,0.6576,0.34955,1.61894,1.35667,1.40713,0.002014,0.002014,0.002014
123,6743.28,1.47016,1.31942,1.29265,0.66959,0.61129,0.65786,0.34984,1.61903,1.35665,1.40721,0.001948,0.001948,0.001948
124,6793.75,1.46765,1.3138,1.29534,0.66944,0.61989,0.65811,0.35018,1.61645,1.3551,1.40552,0.001882,0.001882,0.001882
125,6845.19,1.46437,1.30638,1.28859,0.68205,0.61442,0.65876,0.35109,1.61517,1.35234,1.40456,0.001816,0.001816,0.001816
126,6895.82,1.45713,1.3061,1.29236,0.6721,0.62303,0.65902,0.3516,1.61521,1.35071,1.40446,0.00175,0.00175,0.00175
127,6945.61,1.46205,1.30231,1.28875,0.67995,0.61459,0.6588,0.3513,1.61463,1.34937,1.40314,0.001684,0.001684,0.001684
128,6997.87,1.44805,1.28618,1.28083,0.67087,0.61899,0.6584,0.35053,1.61609,1.34755,1.40324,0.001618,0.001618,0.001618
129,7049.74,1.45123,1.28213,1.28043,0.67111,0.61675,0.6584,0.35089,1.61769,1.3452,1.40376,0.001552,0.001552,0.001552
130,7100.52,1.44325,1.27891,1.28116,0.67105,0.61734,0.65983,0.35198,1.61739,1.34393,1.40267,0.001486,0.001486,0.001486
131,7150.31,1.44518,1.28405,1.27919,0.67229,0.61912,0.66082,0.35274,1.61826,1.34218,1.40279,0.00142,0.00142,0.00142
132,7201.2,1.44056,1.28009,1.27784,0.67009,0.61908,0.66037,0.35241,1.61867,1.3404,1.40277,0.001354,0.001354,0.001354
133,7252.57,1.42941,1.26662,1.27338,0.65911,0.62946,0.66018,0.35236,1.61866,1.34182,1.40287,0.001288,0.001288,0.001288
134,7301.98,1.43365,1.26116,1.27279,0.6654,0.62762,0.66261,0.35334,1.61904,1.33976,1.4037,0.001222,0.001222,0.001222
135,7352,1.43162,1.26669,1.27526,0.66631,0.62074,0.66137,0.35285,1.62005,1.33957,1.40458,0.001156,0.001156,0.001156
136,7401.48,1.42807,1.25433,1.27338,0.66311,0.6225,0.66052,0.3524,1.6213,1.34062,1.40501,0.00109,0.00109,0.00109
137,7452.85,1.42459,1.25413,1.26559,0.66058,0.62587,0.66184,0.35178,1.62243,1.34034,1.40553,0.001024,0.001024,0.001024
138,7502.96,1.41962,1.24486,1.2664,0.66859,0.62072,0.66259,0.352,1.62433,1.33926,1.40723,0.000958,0.000958,0.000958
139,7553.1,1.41732,1.24414,1.26244,0.66964,0.61953,0.66296,0.35153,1.62583,1.34045,1.40792,0.000892,0.000892,0.000892
140,7602.89,1.41268,1.23447,1.26263,0.66978,0.62352,0.66271,0.35182,1.62673,1.33944,1.40819,0.000826,0.000826,0.000826
141,7656.92,1.38726,1.1459,1.27282,0.66905,0.62637,0.66216,0.35203,1.62804,1.33828,1.40953,0.00076,0.00076,0.00076
142,7707.4,1.37392,1.11985,1.27066,0.67227,0.62584,0.66311,0.35276,1.6285,1.33688,1.40959,0.000694,0.000694,0.000694
143,7756.64,1.36172,1.10501,1.25828,0.67412,0.62567,0.66364,0.35297,1.62918,1.33639,1.40977,0.000628,0.000628,0.000628
144,7807.24,1.35393,1.09246,1.25495,0.67113,0.62801,0.66492,0.35307,1.62877,1.33648,1.40888,0.000562,0.000562,0.000562
145,7856.45,1.34759,1.09361,1.25425,0.67357,0.62698,0.66478,0.35332,1.62925,1.33579,1.40869,0.000496,0.000496,0.000496
146,7906.5,1.34717,1.08848,1.25105,0.6763,0.6264,0.66502,0.35368,1.63006,1.3349,1.409,0.00043,0.00043,0.00043
147,7955.81,1.33464,1.07545,1.24439,0.67689,0.62458,0.66509,0.35401,1.631,1.33355,1.40976,0.000364,0.000364,0.000364
148,8005.79,1.33203,1.07679,1.24609,0.6792,0.62347,0.66521,0.35402,1.63217,1.33237,1.41066,0.000298,0.000298,0.000298
149,8055.58,1.32555,1.06459,1.24046,0.68134,0.62238,0.66538,0.35406,1.63311,1.33163,1.41136,0.000232,0.000232,0.000232
150,8104.98,1.31999,1.06144,1.24054,0.6802,0.62346,0.66515,0.35393,1.63367,1.33125,1.41189,0.000166,0.000166,0.000166
