epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1898.66,1.74413,1.82279,1.50112,0.52685,0.48836,0.48037,0.22077,1.75855,1.75423,1.54209,0.007558,0.007558,0.007558
39,1950.39,1.74407,1.81108,1.50455,0.54121,0.49226,0.49263,0.23236,1.73113,1.702,1.5301,0.007492,0.007492,0.007492
40,1998.64,1.733,1.79752,1.49527,0.55158,0.50167,0.50396,0.24267,1.71811,1.69472,1.51395,0.007426,0.007426,0.007426
41,2047.3,1.7323,1.79504,1.48913,0.53284,0.50024,0.49552,0.23848,1.72495,1.70666,1.53082,0.00736,0.00736,0.00736
42,2095.36,1.7261,1.78388,1.48556,0.54652,0.49,0.48662,0.23182,1.74454,1.70575,1.51574,0.007294,0.007294,0.007294
43,2169.72,1.72101,1.76184,1.48523,0.55464,0.47831,0.48116,0.22679,1.76169,1.77179,1.5371,0.007228,0.007228,0.007228
44,2220.46,1.71194,1.76109,1.47743,0.60417,0.49308,0.52489,0.25168,1.70803,1.63751,1.51329,0.007162,0.007162,0.007162
45,2268.41,1.71625,1.75083,1.47464,0.55573,0.50726,0.51471,0.24631,1.70212,1.672,1.49894,0.007096,0.007096,0.007096
46,2316.56,1.71519,1.75064,1.47419,0.54519,0.48751,0.49839,0.23753,1.72923,1.68698,1.50824,0.00703,0.00703,0.00703
47,2365.7,1.7114,1.74008,1.47441,0.54864,0.51451,0.51233,0.24834,1.71055,1.66242,1.50794,0.006964,0.006964,0.006964
48,2413.85,1.70401,1.73982,1.4796,0.60088,0.52156,0.53787,0.25905,1.68583,1.62511,1.4942,0.006898,0.006898,0.006898
49,2462.97,1.70068,1.72087,1.47256,0.5785,0.51625,0.5376,0.25998,1.69982,1.60689,1.5014,0.006832,0.006832,0.006832
50,2517.16,1.69002,1.72057,1.46398,0.58055,0.52812,0.53767,0.2602,1.69862,1.60331,1.50261,0.006766,0.006766,0.006766
51,2566.47,1.68982,1.70777,1.45817,0.56628,0.52656,0.53638,0.26455,1.68345,1.6059,1.48693,0.0067,0.0067,0.0067
52,2614.56,1.68165,1.69329,1.44853,0.59004,0.53587,0.55336,0.27486,1.67943,1.57076,1.46922,0.006634,0.006634,0.006634
53,2666.86,1.69438,1.70457,1.45792,0.57912,0.52866,0.53953,0.26634,1.68167,1.59655,1.47364,0.006568,0.006568,0.006568
54,2715.47,1.6811,1.68773,1.44784,0.56894,0.50723,0.51739,0.24652,1.72928,1.66963,1.50824,0.006502,0.006502,0.006502
55,2763.49,1.68263,1.6804,1.44331,0.58563,0.53538,0.54897,0.26997,1.68802,1.58058,1.48013,0.006436,0.006436,0.006436
56,2811.68,1.6832,1.68691,1.44921,0.58118,0.54307,0.55542,0.2715,1.6733,1.5751,1.46638,0.00637,0.00637,0.00637
57,2859.67,1.66466,1.65911,1.44026,0.5967,0.53423,0.56082,0.27727,1.68665,1.55941,1.46484,0.006304,0.006304,0.006304
58,2909.13,1.66619,1.66564,1.43887,0.60761,0.54345,0.56019,0.27734,1.67066,1.56277,1.47466,0.006238,0.006238,0.006238
59,2957.4,1.66328,1.64254,1.43145,0.59024,0.55354,0.57035,0.28415,1.65623,1.5497,1.45897,0.006172,0.006172,0.006172
60,3006.04,1.66488,1.65475,1.43801,0.61627,0.55272,0.58175,0.2923,1.65495,1.52735,1.45634,0.006106,0.006106,0.006106
61,3055.17,1.65394,1.64681,1.43449,0.61984,0.53918,0.57233,0.28235,1.67063,1.54193,1.45358,0.00604,0.00604,0.00604
